system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00,p99_00,p99_50,p99_90,p99_95,p99_99
mem,randread,8,8K,3845.6,0.014,0,520,1,492223,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.01,0.012,0.036,0.065,0.233
mem,randread,16,8K,3664.3,0.03,0,840,2.6,469022,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.009,0.011,0.038,0.076,40.192
mem,randread,32,8K,3702.3,0.057,0,1163,5.2,473892,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.009,0.011,0.038,0.07,110.08
mem,randread,64,8K,3697.6,0.116,0,1770,9.7,473288,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.01,0.012,0.038,0.074,651.264
mem,write,1,1K,210.374,0.003,0,0,0,215423,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.004,0.004,0.009,0.015,0.027
mem,write,1,8K,1056.5,0.006,0,0,0,135230,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.007,0.009,0.018,0.024,0.064
mem,write,1,128K,1871.8,0.065,0.1,3,0,14973,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.081,0.1,0.159,0.163,0.211
mem,write,4,1K,102.471,0.026,0,60,0.1,104930,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.05,0.057,0.079,0.096,0.237
mem,write,4,8K,523.658,0.042,0,180,0.4,67028,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.067,0.106,2.576,4.048,8.768
mem,write,4,128K,1719.5,0.214,0.1,220,1.3,13755,0,0,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.31,0.374,8.384,8.768,47.36
mem,write,16,1K,86.771,0.097,0,700,3.6,88854,60,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0.209,0.241,0.298,0.58,179.2
mem,write,16,8K,472.522,0.136,0,1190,4.9,60482,38,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0.237,0.243,1.304,10.688,220.16
mem,write,16,128K,1581,0.678,0.1,1620,13.1,12648,0,0,44,41,13,0,0,0,0,0,0,0,0,0,0,0,0.748,0.844,0.924,96.768,301.056,522.24
pg8,randread,1,8K,12.002,0.645,0.2,57,1.3,1536,0,0,0,41,50,4,1,0,0,0,0,0,0,0,0,0,1.144,2.64,4.96,26.24,31.872,48.384
pg8,randread,8,8K,50.828,1.223,0,131,2.5,6506,0,0,0,14,59,18,3,2,0,0,0,0,0,0,0,0,2.896,10.816,13.12,34.56,38.656,61.184
pg8,randread,16,8K,58.855,2.116,0,184,4.3,7533,0,0,0,6,48,25,8,7,3,0,0,0,0,0,0,0,8.768,16.768,29.824,53.504,63.232,107.008
pg8,randread,32,8K,49.877,5.003,0,702,26.4,6384,0,0,0,5,44,25,8,9,4,1,0,0,0,0,0,0,12.224,73.216,162.816,452.608,536.576,626.688
pg8,randread,64,8K,47.21,10.58,0,683,51,6042,0,0,0,4,42,24,7,9,5,1,1,1,0,0,0,0,23.424,292.864,440.32,602.112,626.688,643.072
pg8,read,1,8K,14.436,0.536,0.2,117,0.8,1847,0,0,1,53,41,2,0,0,0,0,0,0,0,0,0,0,0.892,2.024,2.8,7.52,12.224,33.536
pg8,read,1,32K,38.88,0.798,0.4,170,1.4,1244,0,0,0,12,76,9,1,0,0,0,0,0,0,0,0,0,1.368,2.8,4.256,15.808,30.336,54.528
pg8,read,1,128K,70.421,1.77,0.9,102,2.2,563,0,0,0,0,0,85,12,1,0,0,0,0,0,0,0,0,2.64,6.752,12.352,37.632,48.896,67.072
pg8,read,1,1M,158.044,6.32,3,127,5.7,158,0,0,0,0,0,0,1,91,4,2,0,0,0,0,0,0,15,35,41,68,77,128
pg8,read,8,1M,344.459,11.6,2,231,8.7,344,0,0,0,0,0,0,0,57,32,8,0,0,0,0,0,0,28,47,59,88,104,157
pg8,read,16,1M,405.625,19.71,2,1273,33.5,405,0,0,0,0,0,0,0,28,49,16,3,1,0,0,0,0,52,135,192,453,644,988
pg8,read,32,1M,512.583,31.19,2,1336,90.2,512,0,0,0,0,0,0,0,25,47,18,4,2,0,0,0,0,83,469,652,1270,1287,1287
pg8,read,64,1M,772.646,41.39,2,1348,134.2,772,0,0,0,0,0,0,0,27,43,18,4,2,1,1,0,0,108,775,1254,1287,1303,1352
pg8,write,1,1K,1.094,0.887,0.3,82,1.1,1120,0,0,0,20,59,15,4,0,0,0,0,0,0,0,0,0,2.024,3.344,4.704,10.816,16.064,53.504
pg8,write,1,8K,9.749,0.796,0.4,76,1,1247,0,0,0,13,74,9,1,0,0,0,0,0,0,0,0,0,1.384,2.928,4.048,10.304,14.016,47.872
pg8,write,1,128K,60.336,2.07,1,119,2.1,482,0,0,0,0,0,80,12,5,0,0,0,0,0,0,0,0,4.32,7.456,11.968,30.848,46.848,57.6
pg8,write,4,1K,1.291,1.507,0.3,92,1.7,1322,0,0,0,4,21,59,13,1,0,0,0,0,0,0,0,0,2.832,5.152,7.008,21.12,36.608,74.24
pg8,write,4,8K,9.459,1.646,0.4,163,2,1210,0,0,0,0,10,75,11,1,0,0,0,0,0,0,0,0,2.896,5.6,7.648,24.448,41.216,75.264
pg8,write,4,128K,70.165,3.55,1,113,3.8,561,0,0,0,0,0,1,83,12,1,0,0,0,0,0,0,0,8.096,13.12,20.864,56.576,79.36,103.936
pg8,write,16,1K,4.278,1.82,0.4,210,2.4,4381,0,0,0,0,10,65,21,2,0,0,0,0,0,0,0,0,3.312,5.792,8.384,27.776,52.992,85.504
pg8,write,16,8K,26.744,2.331,0.5,142,2.8,3423,0,0,0,0,0,60,32,5,0,0,0,0,0,0,0,0,4.576,8.512,13.248,44.288,58.112,87.552
pg8,write,16,128K,118.496,8.43,2,722,11.6,947,0,0,0,0,0,0,0,77,19,1,0,0,0,0,0,0,14,40,60,95,135,725
pg512,randread,1,8K,0.733,10.636,0.3,86,7.3,93,0,0,0,0,0,0,4,56,29,8,0,0,0,0,0,0,28.288,38.144,41.728,57.6,64.256,86.528
pg512,randread,8,8K,5.938,10.516,0.4,106,6.7,760,0,0,0,0,0,1,4,51,36,5,0,0,0,0,0,0,22.4,36.608,40.704,60.16,67.072,92.672
pg512,randread,16,8K,8.829,14.143,0.4,646,25.8,1130,0,0,0,0,0,0,3,46,38,8,1,0,0,0,0,0,34,97,172,412,529,619
pg512,randread,32,8K,8.8,28.323,0.4,995,74.8,1126,0,0,0,0,0,0,3,43,35,9,2,2,1,0,0,0,109,474,562,644,652,668
pg512,randread,64,8K,8.825,56.321,0.4,1304,119.3,1129,0,0,0,0,0,0,2,38,30,8,5,6,5,2,0,0,347,594,635,676,717,1237
pg512,read,1,8K,13.595,0.57,0.2,52,0.8,1740,0,0,1,49,42,4,1,0,0,0,0,0,0,0,0,0,1.064,2.32,3.12,8.384,12.608,33.024
pg512,read,1,32K,31.545,0.985,0.4,80,1.7,1009,0,0,0,6,72,15,3,0,0,0,0,0,0,0,0,0,1.976,5.536,9.792,25.984,35.584,51.968
pg512,read,1,128K,61.315,2.033,0.9,56,1.9,490,0,0,0,0,0,71,24,2,0,0,0,0,0,0,0,0,3.6,8.384,13.12,29.568,39.168,55.04
pg512,read,1,1M,149.244,6.69,3,79,4.6,149,0,0,0,0,0,0,0,92,4,2,0,0,0,0,0,0,12.352,28.544,36.608,51.968,63.232,79.36
pg512,read,8,1M,312.43,12.8,3,185,10.2,312,0,0,0,0,0,0,0,56,30,11,1,0,0,0,0,0,33,55,66,104,127,167
pg512,read,16,1M,316.505,25.26,4,701,65.5,316,0,0,0,0,0,0,0,50,29,12,3,2,1,0,0,0,74,408,594,644,644,668
pg512,read,32,1M,328.586,48.67,4,953,131.2,328,0,0,0,0,0,0,0,39,37,11,4,2,1,4,0,0,318,644,660,717,725,947
pg512,read,64,1M,330.488,96.74,4,1385,210.1,330,0,0,0,0,0,0,0,41,24,14,4,2,1,10,0,0,644,676,750,1287,1287,1352
pg512,write,1,1K,1.134,0.856,0.3,80,0.8,1161,0,0,0,23,56,15,4,0,0,0,0,0,0,0,0,0,1.992,3.024,3.92,8.64,11.712,27.52
pg512,write,1,8K,7.318,1.06,0.4,1134,6.1,936,0,0,0,10,70,12,3,2,0,0,0,0,0,0,0,0,2.544,5.92,8.256,20.096,40.704,162.816
pg512,write,1,128K,44.552,2.8,1,82,3.3,356,0,0,0,0,0,66,20,9,3,0,0,0,0,0,0,0,8.512,15.168,20.608,40.192,45.312,60.16
pg512,write,4,1K,1.257,1.548,0.3,116,1.6,1287,0,0,0,3,19,59,15,1,0,0,0,0,0,0,0,0,2.928,4.832,6.56,17.28,30.592,57.6
pg512,write,4,8K,8.634,1.804,0.4,185,3.2,1105,0,0,0,0,7,76,13,2,0,0,0,0,0,0,0,0,3.28,6.752,9.408,35.584,59.136,162.816
pg512,write,4,128K,68.15,3.66,1,228,3.9,545,0,0,0,0,0,1,83,13,1,0,0,0,0,0,0,0,8.256,12.992,20.608,58.624,75.264,102.912
pg512,write,16,1K,4.106,1.896,0.4,101,1.8,4205,0,0,0,0,7,63,25,2,0,0,0,0,0,0,0,0,3.536,5.92,8.384,22.4,36.096,74.24
pg512,write,16,8K,25.642,2.431,0.5,111,2.8,3282,0,0,0,0,0,51,41,5,0,0,0,0,0,0,0,0,4.384,8.768,13.888,46.848,58.624,76.288
pg512,write,16,128K,113.609,8.79,1,164,7.4,908,0,0,0,0,0,0,0,74,22,2,0,0,0,0,0,0,16,41,59,101,117,129
pharos,read,1,8K,4.706,1.656,0.2,2136,31.2,602,0,0,2,24,66,1,0,2,1,0,0,0,0,0,0,0,2.024,16.768,24.96,52.992,89.6,2146.304
pharos,read,1,32K,22.054,1.413,0.3,1375,21.6,705,0,0,0,21,72,1,0,1,0,0,0,0,0,0,0,0,1.004,15.04,23.68,58.112,72.192,1368.064
